location,DAPI_2nd,DAPI_3rd,GABA,GAD,gephyrin,NR1,PSD,Synapsin,VGluT1,VGAT,total
on_synapse,0.100198074,1.948598969,0.01446281,0.041894338,0.157161396,0.077248822,0.455804761,0.060186292,0.110703675,0.036498532,3.002757667
on_synapse,0.100121235,1.810369852,0.029083567,0.058346424,0.070149751,0.064480739,0.625653132,0.041552831,0.091067038,0.041663821,2.932488389
on_synapse,0,0,0,0,0,0,0,0,0,0,0
on_synapse,0.093836088,1.601553891,0.044821798,0.041860365,0.875675792,0.061350723,0.035623278,0.029493802,0.063644972,0.002767734,2.850628444
on_synapse,0.206365685,4.215183389,0.836592446,0.848743255,0.436455843,0.149299911,0.028304078,0.262342053,0.086698313,0.231172734,7.301157708
on_synapse,0.112412347,2.004044578,0.019665665,0.040624217,0.051759329,0.074536689,0.252297771,0.144211746,0.036363636,0.041892061,2.777808039
on_synapse,0.139403046,2.678508982,0.024506523,0.054624001,0.104221023,0.102127587,0.576955126,0.473823509,0.079738406,0.045498941,4.279407144
on_synapse,0.127828814,2.173667555,0.050312479,0.073830909,0.071170002,0.214528835,0.139064385,0.024705166,0.046242857,0.059723835,2.981074836
on_synapse,0.22076987,5.011633996,0.045110193,0.130939371,0.139152608,0.25036712,0.968219953,0.520476174,0.213196958,0.088214034,7.588080277
on_synapse,0.114290634,1.7287284,0.018181818,0.049261207,0.080115202,0.611883296,0.268266341,0.08056599,0.099680691,0.034804658,3.085778237
on_synapse,0.238211615,5.099638857,0.046735196,0.154361041,0.125375657,1.34061881,0.441493494,0.300325285,0.151321631,0.093037105,7.991118691
on_synapse,0.198036905,4.470240535,0.041285317,0.171581518,0.12743039,0.172563349,1.180671288,0.079144184,0.241157822,0.076355213,6.758466521
on_synapse,0.159164902,4.019241058,0.044518248,0.088327869,0.148060242,0.313491792,0.702917606,0.304217039,0.316189696,0.068238736,6.164367188
on_synapse,0.191119361,4.763909081,0.161449745,0.328005015,0.465137042,0.17702733,0.087276923,0.267458312,0.107147736,0.111355587,6.659886132
on_synapse,0.168818159,4.534065296,0.046416456,0.130077067,0.107557544,0.567587027,0.597454637,0.582112447,0.169270655,0.078893746,6.982253034
on_synapse,0.088614166,3.039618195,0.024793388,0.074229902,0.094768117,0.390830544,0.06979373,0.002192473,0.06064818,0.058588894,3.90407759
on_synapse,0.229881839,6.556574005,0.085475719,0.130223345,0.184440953,0.305634861,0.818455024,0.458909911,0.214387678,0.12917492,9.113158254
on_synapse,0.28535733,8.437951073,0.066997928,0.421194477,0.190435535,2.819573458,0.851985292,0.577095144,0.248301004,0.124325524,14.02321677
on_synapse,0.175833276,1.81594068,0.03002271,0.086640257,0.09058466,0.322211598,0.144389044,0.000670207,0.063938597,0.049232464,2.779463493
