synapse,GABA,GAD,gephyrin,GS594,MBP488,NR1,PSD,Synapsin,VGluT1,DAPI1st,location
1,0.062382027,1.986366187,0.385096759,0.376938578,0.117901447,0.190005059,1.732728165,1.001572969,0.620782743,3.818150996,on_synapse
2,0.077234891,1.237165425,0.359510509,0.322336369,0.077738666,0.330757066,1.999065784,0.934644211,0.289653692,3.886433782,on_synapse
3,0.005922546,0.371813144,0.120297036,0.139317735,0,0.042546679,0.03350264,0.296892536,0.207308247,1.222451791,on_synapse
4,0.147710268,1.061725207,0.306218753,0.282049238,0.044942268,0.203209494,0.858444504,0.687535073,0.453936461,3.373659788,on_synapse
5,0.0966432,0.999047291,0.463624885,0.332518365,0.116518723,0.307832109,0.463181053,0.976970462,0.307579584,4.654326089,on_synapse
6,0.297650325,0.783145002,0.322511733,0.365911854,0,0.103440763,0.320676249,0.717436359,0.26538746,2.863817042,on_synapse
7,0.241647323,0.690713958,0.271328606,0.241792929,0.060606061,0.084902051,0.765121756,1.006664924,0.567304994,2.656905758,on_synapse
8,0.359187679,2.06076628,0.698222758,0.664804612,0.159841789,0.265866525,3.872418152,2.017934235,1.300238815,7.958843485,on_synapse
9,0.085581191,0.881756326,0.401330221,0.393076918,0.093003903,0.106111621,0.864430288,0.921076293,0.921841521,4.268142281,on_synapse
10,0.000742909,0.278495179,0.100834736,0.092948105,0.004565861,0.205326625,0.017858509,0.643682724,0.074772345,0.994538185,on_synapse
11,0.063101554,1.473861086,0.384703517,0.456715726,0.085399449,0.128384008,0.779104173,1.365289044,0.285595858,4.237983794,on_synapse
12,0.450033798,2.538722664,0.871547971,0.739159269,0.218215403,0.585709792,4.630725394,3.067460166,0.945494507,10.78269968,on_synapse
13,0.180375727,0.894943118,0.332135751,0.341462606,0.077640037,0.290276502,0.653546832,0.932693093,0.340143863,3.970545097,on_synapse
14,0.123842593,0.864289996,0.279131806,0.389118457,0.081990996,0.271230827,1.008159244,1.147199053,0.178199291,2.179252542,on_synapse
15,0.00410141,2.379465956,0.690103901,0.385187098,0.091545718,0.258805437,1.673012745,0.941378218,0.828637809,3.837723829,on_synapse
16,0.05176874,0.615767311,0.381851979,0.270870532,0.002289307,0.122806346,0.358924897,0.346781153,0.236321549,2.579525261,on_synapse
17,0.421275571,1.840611768,0.727183451,0.67333531,0.235991544,0.280986953,2.301709488,1.856501409,0.721619605,6.952206726,on_synapse
