	GABA	GAD2	Gephyrin	GluN1	MBP	PSD95	VGlut1	annotation	synapsin
0	510	878	907	1344	1	1652	1348	70110336	1407
1	907	1326	1871	2026	415	1789	1969	10078193	1457
2	645	1547	1788	1643	912	1986	1837	99528639	2613
3	745	585	1280	1649	2456	747	1705	47088531	1104
4	3655	2496	1792	2460	1316	1632	2726	20727626	1487
5	1464	837	1629	1560	3354	1212	1966	55820991	989
6	241	577	1613	1344	2202	1657	2358	88686402	1588
7	542	1213	1505	2028	4163	742	1951	12537438	1205
8	676	1110	1344	1983	1725	1034	1639	6032201	1224
9	253	1242	1379	1932	0	1313	1685	93833116	1433
10	2063	1715	1413	2087	562	1866	2334	33454862	1389
11	3001	1447	1586	2024	1749	704	2256	8826436	937
12	386	874	1526	1368	1368	1434	1933	117419678	1201
13	1567	952	1221	1354	2105	1324	1998	103631877	1964
14	424	1085	1455	1967	30	1818	2098	82227088	1329
15	2534	2235	1539	2119	0	1325	1942	92059817	1196
16	939	967	1563	1762	1227	1451	1825	3801174	2058
17	372	1292	1675	2576	0	1200	2063	48791405	1354
18	1642	2396	1500	2036	27	1301	2112	70832648	1384
19	1805	1874	1692	1702	1	2301	2692	32976480	1992
20	805	1356	1534	2347	0	1229	1895	53879576	1417
21	2505	2107	1179	2164	0	1731	1938	68409675	2401
22	1813	1403	1457	2753	1799	688	2523	20624121	1523
23	768	1390	1566	2508	4327	1132	2600	15271149	1398
24	2606	2312	1632	1913	0	1352	1647	94969075	1118
25	971	1146	1195	1935	0	1687	2144	87973149	1782
26	1753	1483	1931	2011	243	1164	2131	12623892	1364
27	1426	840	1285	1394	2734	1348	1762	127622828	1701
28	2271	2454	1893	2753	423	1647	2865	18875646	1288
29	1626	1806	1801	2961	2126	1026	3099	26390769	1786
30	1025	1354	1911	2008	2199	1795	1998	15889304	1639
31	2935	2300	1529	1929	0	1254	2047	52068133	1433
32	1118	1399	2017	1921	1310	2158	2258	19157217	1368
33	2700	2186	1287	1863	530	1372	1964	21691368	1014
